BJD,mag,filter,instrument
2460081.9901121687,0.0046093836,TESS,TESS
2460081.992426958,0.00901738,TESS,TESS
2460081.9947417467,0.009782042,TESS,TESS
2460081.997056536,0.008169075,TESS,TESS
2460081.9993713247,0.012509544,TESS,TESS
2460082.001686114,0.00925193,TESS,TESS
2460082.004000903,0.017802823,TESS,TESS
2460082.006315692,0.011173902,TESS,TESS
2460082.008630481,0.012817732,TESS,TESS
2460082.01094527,0.008726969,TESS,TESS
2460082.013260059,0.014742358,TESS,TESS
2460082.015574848,0.012317226,TESS,TESS
2460082.017889637,0.018310538,TESS,TESS
2460082.0202044263,0.014171528,TESS,TESS
2460082.022519215,0.010638536,TESS,TESS
2460082.024834004,0.008632576,TESS,TESS
2460082.027148793,0.009440899,TESS,TESS
2460082.029463582,0.009922512,TESS,TESS
2460082.031778371,0.010664481,TESS,TESS
2460082.03409316,0.008320684,TESS,TESS
2460082.0364079494,0.012764168,TESS,TESS
2460082.038722738,0.016273221,TESS,TESS
2460082.0410375274,0.015336984,TESS,TESS
2460082.043352316,0.01384762,TESS,TESS
2460082.0456671054,0.013466998,TESS,TESS
2460082.047981894,0.008952322,TESS,TESS
2460082.0502966833,0.020215988,TESS,TESS
2460082.0526114726,0.011510553,TESS,TESS
2460082.0549262613,0.014812945,TESS,TESS
2460082.0572410505,0.009906315,TESS,TESS
2460082.0595558393,0.023214124,TESS,TESS
2460082.0618706285,0.01554054,TESS,TESS
2460082.0641854177,0.010790621,TESS,TESS
2460082.0665002065,0.007580901,TESS,TESS
2460082.0688149957,0.016975632,TESS,TESS
2460082.0711297845,0.014526753,TESS,TESS
2460082.0734445737,0.0148902945,TESS,TESS
2460082.0757593624,0.017102178,TESS,TESS
2460082.0780741517,0.016034061,TESS,TESS
2460082.080388941,0.015849523,TESS,TESS
2460082.0827037296,0.016356718,TESS,TESS
2460082.085018519,0.014027163,TESS,TESS
2460082.0873333076,0.019617368,TESS,TESS
2460082.089648097,0.016704377,TESS,TESS
2460082.091962886,0.022035565,TESS,TESS
2460082.094277675,0.02047658,TESS,TESS
2460082.096592464,0.0332688,TESS,TESS
2460082.0989072532,0.04185641,TESS,TESS
2460082.101222042,0.034703746,TESS,TESS
2460082.103536831,0.029610235,TESS,TESS
2460082.10585162,0.0463172,TESS,TESS
2460082.108166409,0.034735084,TESS,TESS
2460082.1104811984,0.045415975,TESS,TESS
2460082.112795987,0.04735997,TESS,TESS
2460082.1151107764,0.055759877,TESS,TESS
2460082.117425565,0.05461978,TESS,TESS
2460082.1197403544,0.057568535,TESS,TESS
2460082.1220551436,0.054273378,TESS,TESS
2460082.1243699323,0.06782021,TESS,TESS
2460082.1266847216,0.07361098,TESS,TESS
2460082.128999511,0.07809796,TESS,TESS
2460082.1313142995,0.07785382,TESS,TESS
2460082.1336290888,0.08375296,TESS,TESS
2460082.135943878,0.083909765,TESS,TESS
2460082.1382586667,0.0829488,TESS,TESS
2460082.140573456,0.09403878,TESS,TESS
2460082.1428882447,0.089819916,TESS,TESS
2460082.145203034,0.099431194,TESS,TESS
2460082.147517823,0.103942566,TESS,TESS
2460082.149832612,0.11086706,TESS,TESS
2460082.152147401,0.11309851,TESS,TESS
2460082.1544621903,0.11525783,TESS,TESS
2460082.156776979,0.111234665,TESS,TESS
2460082.1590917683,0.11034757,TESS,TESS
2460082.1614065575,0.12182533,TESS,TESS
2460082.1637213463,0.12311603,TESS,TESS
2460082.1660361355,0.12491785,TESS,TESS
2460082.1683509247,0.1251112,TESS,TESS
2460082.1706657135,0.13902014,TESS,TESS
2460082.1729805027,0.13878568,TESS,TESS
2460082.175295292,0.13189739,TESS,TESS
2460082.1776100807,0.12664542,TESS,TESS
2460082.17992487,0.13307606,TESS,TESS
2460082.182239659,0.1363343,TESS,TESS
2460082.184554448,0.132051,TESS,TESS
2460082.186869237,0.13290387,TESS,TESS
2460082.1891840263,0.14256282,TESS,TESS
2460082.191498815,0.13482453,TESS,TESS
2460082.1938136043,0.13926452,TESS,TESS
2460082.1961283935,0.13201702,TESS,TESS
2460082.1984431823,0.14505236,TESS,TESS
2460082.2007579715,0.12962061,TESS,TESS
2460082.2030727607,0.13706204,TESS,TESS
2460082.20538755,0.13277946,TESS,TESS
2460082.2077023387,0.13719061,TESS,TESS
2460082.210017128,0.13635316,TESS,TESS
2460082.212331917,0.13080643,TESS,TESS
2460082.214646706,0.11977344,TESS,TESS
2460082.216961495,0.13437818,TESS,TESS
2460082.2192762843,0.12822498,TESS,TESS
2460082.221591073,0.11784654,TESS,TESS
2460082.2239058623,0.12451314,TESS,TESS
2460082.2262206515,0.12528376,TESS,TESS
2460082.2285354408,0.118203804,TESS,TESS
2460082.2308502295,0.11799385,TESS,TESS
2460082.2331650187,0.10934781,TESS,TESS
