time,flux,flux_model
1359.777939016465,0.9998445,0.9998665
1359.7983720460325,0.999832,0.9998709
1359.8188050753597,0.99990636,0.9998741
1359.8392381044614,0.9999,0.99987805
1359.8596711330902,0.99985653,0.99987966
1359.8801041614934,0.99993306,0.999885
1359.9005372896645,0.9999525,0.9998902
1359.9209702176013,0.99991107,0.999893
1359.9414032450659,0.999803,0.9998956
1359.961836272305,0.9998404,0.9998965
1359.9822692993039,0.9998829,0.99989927
1360.0027023260773,0.99998164,0.9999033
1360.023135352385,0.99988675,0.99990666
1360.04356837846,0.99990684,0.99990803
1360.0640015042954,0.99990094,0.99990916
1360.084434429671,0.9999412,0.9999141
1360.1048674548074,0.99985,0.9999151
1360.125300579719,1.0000678,0.9999169
1360.145733504396,0.99983454,0.99992067
1360.1661665286083,0.9999169,0.9999226
1360.1865996525812,0.9999926,0.99992394
1360.2274655998335,0.9998575,0.99992484
1360.2478987228824,0.9997765,0.99992526
1360.2683317456977,0.99983114,0.99992394
1360.2887646682793,0.9999171,0.9999237
1360.3091977906224,0.99995255,0.99992585
1360.3296308125064,0.9999272,0.9999297
1360.3500637341494,0.9999171,0.99993163
1360.3704968555685,0.9999951,0.99993145
1360.390929876521,1.0000461,0.99993163
1360.4113629972344,0.9999987,0.9999316
1360.4317959177206,0.9998976,0.99993557
1360.4522289379747,0.99991125,0.9999383
1360.4726620579895,1.0000896,0.9999392
1360.4930949775444,1.0000138,0.99994123
1360.5135279968672,0.99994856,0.99994045
1360.5339611157178,0.99994427,0.99994075
1360.5543940345742,0.9998247,0.99994123
1360.5748270529657,0.99998516,0.9999423
1360.5952601711178,0.9999948,0.9999435
1360.61569308881,0.9998628,0.99994457
1360.636126106503,1.000003,0.99994624
1360.656559223724,1.0000072,0.9999467
1360.6769921407176,0.999965,0.99994737
1360.6974251572465,1.0000651,0.99995035
1360.717858173768,0.99998146,0.9999528
1360.7382911898312,1.0000656,0.99995434
1360.7587243056623,0.99998146,0.9999519
1360.779157221019,0.9999437,0.99995077
1360.7995902363837,0.9999723,0.9999492
1360.8200233512835,0.9999233,0.99994874
1360.8404563657095,0.99971396,0.9999505
1360.8608892801421,0.9998823,0.9999496
1360.8813223941106,0.99988335,0.99994683
1360.9017554078382,0.9999342,0.9999456
1360.9221883213395,0.9998183,0.9999416
1360.9426214346095,0.9998272,0.99994
1360.9630544474057,0.9999231,0.9999397
